feature_index	feature	cohort	age	flt_profile	gc_profile	flt_animal_number	gc_animal_number	flt_included	gc_included	original_feature_index
0	ISS-T_OLD_rep01	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI11	RR8_LVR_GC_ISS-T_OLD_GI11	11	11	True	True	0
1	ISS-T_OLD_rep02	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI12	RR8_LVR_GC_ISS-T_OLD_GI12	12	12	True	True	1
2	ISS-T_OLD_rep03	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI13	RR8_LVR_GC_ISS-T_OLD_GI13	13	13	True	True	2
3	ISS-T_OLD_rep04	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI14	RR8_LVR_GC_ISS-T_OLD_GI14	14	14	True	True	3
4	ISS-T_OLD_rep05	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI15	RR8_LVR_GC_ISS-T_OLD_GI15	15	15	True	True	4
5	ISS-T_OLD_rep08	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI18	RR8_LVR_GC_ISS-T_OLD_GI18	18	18	True	True	7
6	ISS-T_OLD_rep09	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI19	RR8_LVR_GC_ISS-T_OLD_GI19	19	19	True	True	8
7	ISS-T_OLD_rep10	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI20	RR8_LVR_GC_ISS-T_OLD_GI20	20	20	True	True	9
8	ISS-T_YNG_rep01	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI1	RR8_LVR_GC_ISS-T_YNG_GI1	1	1	True	True	10
9	ISS-T_YNG_rep02	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI2	RR8_LVR_GC_ISS-T_YNG_GI2	2	2	True	True	11
10	ISS-T_YNG_rep03	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI3	RR8_LVR_GC_ISS-T_YNG_GI3	3	3	True	True	12
11	ISS-T_YNG_rep04	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI4	RR8_LVR_GC_ISS-T_YNG_GI4	4	4	True	True	13
12	ISS-T_YNG_rep05	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI5	RR8_LVR_GC_ISS-T_YNG_GI5	5	5	True	True	14
13	ISS-T_YNG_rep06	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI6	RR8_LVR_GC_ISS-T_YNG_GI6	6	6	True	True	15
14	ISS-T_YNG_rep07	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI7	RR8_LVR_GC_ISS-T_YNG_GI7	7	7	True	True	16
15	ISS-T_YNG_rep08	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI8	RR8_LVR_GC_ISS-T_YNG_GI8	8	8	True	True	17
16	LAR_OLD_rep02	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL4	RR8_LVR_GC_LAR_OLD_GL4	4	4	True	True	21
17	LAR_OLD_rep07	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL16	RR8_LVR_GC_LAR_OLD_GL15	16	15	True	True	26
18	LAR_YNG_rep01	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL1	RR8_LVR_GC_LAR_YNG_GL1	1	1	True	True	27
19	LAR_YNG_rep04	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL6	RR8_LVR_GC_LAR_YNG_GL6	6	6	True	True	30
20	LAR_YNG_rep05	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL13	RR8_LVR_GC_LAR_YNG_GL13	13	13	True	True	31
21	LAR_YNG_rep06	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL14	RR8_LVR_GC_LAR_YNG_GL14	14	14	True	True	32
22	LAR_YNG_rep07	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL17	RR8_LVR_GC_LAR_YNG_GL17	17	17	True	True	33
