gene_cluster	tissue_inferred	n_paired_strata	mean_log2_flight_ground_ratio	median_log2_flight_ground_ratio	mean_flight_minus_ground	positive_strata	negative_strata	wilcoxon_p_value	sign_test_p_value	wilcoxon_fdr_bh	sign_test_fdr_bh
0	liver	10	-0.08947583623230457	-0.0694656865671277	-2.8236594200134277	3	7	0.275390625	0.34375	0.458984375	0.5729166666666666
1	liver	10	0.046395388524979354	-0.016084001399576664	0.12483426183462143	4	6	0.845703125	0.75390625	0.9758112980769231	0.8077566964285714
2	liver	10	-0.0769994167611003	-0.12125765159726143	-0.1090540885925293	4	6	0.431640625	0.75390625	0.6474609375	0.8077566964285714
3	liver	10	-0.10179651826620102	-0.06176436319947243	-23.893787384033203	2	8	0.048828125	0.109375	0.24169921875	0.328125
4	liver	10	-0.10671007186174393	-0.06569356098771095	-1195.4886474609375	2	8	0.083984375	0.109375	0.251953125	0.328125
5	liver	10	-0.090674570761621	-0.1111522689461708	-207.6151580810547	3	7	0.193359375	0.34375	0.362548828125	0.5729166666666666
6	liver	10	-0.16081167217344045	-0.11778213083744049	-78.55650329589844	1	9	0.02734375	0.021484375	0.24169921875	0.322265625
7	liver	10	-0.02850696090608835	-0.12265410646796227	0.34239301085472107	4	6	0.625	0.75390625	0.8522727272727273	0.8077566964285714
8	liver	10	0.01963645071373321	-0.003358188521815464	0.017925485968589783	5	5	0.845703125	1.0	0.9758112980769231	1.0
9	liver	10	-0.12090883956407197	-0.09306056052446365	-43.198204040527344	2	8	0.048828125	0.109375	0.24169921875	0.328125
10	liver	10	-0.11177235711365938	-0.10363752022385597	-9.18325138092041	2	8	0.10546875	0.109375	0.263671875	0.328125
11	liver	10	-0.1052796645089984	-0.14057572185993195	-106.86607360839844	3	7	0.193359375	0.34375	0.362548828125	0.5729166666666666
12	liver	10	0.06830640025436878	-0.03564908169209957	0.35873523354530334	4	6	1.0	0.75390625	1.0	0.8077566964285714
13	liver	10	-0.11716207487042993	-0.060919761657714844	-16.42124366760254	3	7	0.064453125	0.34375	0.24169921875	0.5729166666666666
14	liver	10	0.05540509489364922	-0.003835522336885333	0.07181773334741592	4	6	1.0	0.75390625	1.0	0.8077566964285714
