gene_cluster	n_genes	baseline_control	flight	ground_control	unknown	vivarium_control
0	263	12398.8359375	7665.90087890625	8461.1484375	7079.0126953125	9203.70703125
1	9845	129.00244140625	134.5964813232422	122.22197723388672	72.90928649902344	119.1883316040039
2	1183	3578.024169921875	3506.53564453125	3323.5908203125	1753.0645751953125	3134.55517578125
3	473	12655.5078125	12767.2861328125	12267.31640625	7090.81787109375	12614.64453125
4	911	1143.9056396484375	1188.8594970703125	1103.1312255859375	735.11181640625	1059.7320556640625
5	502	4126.3330078125	4825.96240234375	4725.267578125	3811.181640625	5431.95654296875
6	417	5410.38720703125	3548.384033203125	3579.3427734375	1741.1566162109375	4805.455078125
7	685	1699.771728515625	1562.3929443359375	1540.121337890625	1048.4656982421875	1459.5697021484375
8	789	2594.674072265625	3299.84375	3028.94287109375	1443.540771484375	2806.40185546875
9	2845	854.8465576171875	863.7927856445312	793.0540161132812	499.67108154296875	791.340576171875
10	807	942.0516357421875	1883.9659423828125	1502.1475830078125	943.1395874023438	975.0908813476562
11	209	719.60986328125	732.2689819335938	696.9602661132812	528.97802734375	691.2471313476562
12	1612	3004.69384765625	3070.664306640625	2766.371337890625	1707.7388916015625	2817.08203125
13	122	44266.0078125	58521.75390625	55964.23046875	51885.94921875	61759.828125
14	347	3243.78271484375	2059.77490234375	1952.5728759765625	826.7202758789062	2225.874755859375
