feature_index	feature	cohort	age	flt_profile	gc_profile	flt_animal_number	gc_animal_number
0	ISS-T_OLD_rep01	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI11	RR8_LVR_GC_ISS-T_OLD_GI11	11	11
1	ISS-T_OLD_rep02	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI12	RR8_LVR_GC_ISS-T_OLD_GI12	12	12
2	ISS-T_OLD_rep03	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI13	RR8_LVR_GC_ISS-T_OLD_GI13	13	13
3	ISS-T_OLD_rep04	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI14	RR8_LVR_GC_ISS-T_OLD_GI14	14	14
4	ISS-T_OLD_rep05	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI15	RR8_LVR_GC_ISS-T_OLD_GI15	15	15
5	ISS-T_OLD_rep06	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI16	RR8_LVR_GC_ISS-T_OLD_GI16	16	16
6	ISS-T_OLD_rep07	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI17	RR8_LVR_GC_ISS-T_OLD_GI17	17	17
7	ISS-T_OLD_rep08	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI18	RR8_LVR_GC_ISS-T_OLD_GI18	18	18
8	ISS-T_OLD_rep09	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI19	RR8_LVR_GC_ISS-T_OLD_GI19	19	19
9	ISS-T_OLD_rep10	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI20	RR8_LVR_GC_ISS-T_OLD_GI20	20	20
10	ISS-T_YNG_rep01	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI1	RR8_LVR_GC_ISS-T_YNG_GI1	1	1
11	ISS-T_YNG_rep02	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI2	RR8_LVR_GC_ISS-T_YNG_GI2	2	2
12	ISS-T_YNG_rep03	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI3	RR8_LVR_GC_ISS-T_YNG_GI3	3	3
13	ISS-T_YNG_rep04	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI4	RR8_LVR_GC_ISS-T_YNG_GI4	4	4
14	ISS-T_YNG_rep05	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI5	RR8_LVR_GC_ISS-T_YNG_GI5	5	5
15	ISS-T_YNG_rep06	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI6	RR8_LVR_GC_ISS-T_YNG_GI6	6	6
16	ISS-T_YNG_rep07	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI7	RR8_LVR_GC_ISS-T_YNG_GI7	7	7
17	ISS-T_YNG_rep08	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI8	RR8_LVR_GC_ISS-T_YNG_GI8	8	8
18	ISS-T_YNG_rep09	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI9	RR8_LVR_GC_ISS-T_YNG_GI9	9	9
19	ISS-T_YNG_rep10	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI10	RR8_LVR_GC_ISS-T_YNG_GI10	10	10
20	LAR_OLD_rep01	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL3	RR8_LVR_GC_LAR_OLD_GL3	3	3
21	LAR_OLD_rep02	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL4	RR8_LVR_GC_LAR_OLD_GL4	4	4
22	LAR_OLD_rep03	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL7	RR8_LVR_GC_LAR_OLD_GL7	7	7
23	LAR_OLD_rep04	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_GC_LAR_OLD_GL8	8	8
24	LAR_OLD_rep05	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL11	RR8_LVR_GC_LAR_OLD_GL11	11	11
25	LAR_OLD_rep06	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL15	RR8_LVR_GC_LAR_OLD_GL12	15	12
26	LAR_OLD_rep07	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL16	RR8_LVR_GC_LAR_OLD_GL15	16	15
27	LAR_YNG_rep01	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL1	RR8_LVR_GC_LAR_YNG_GL1	1	1
28	LAR_YNG_rep02	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL2	RR8_LVR_GC_LAR_YNG_GL2	2	2
29	LAR_YNG_rep03	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL5	RR8_LVR_GC_LAR_YNG_GL5	5	5
30	LAR_YNG_rep04	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL6	RR8_LVR_GC_LAR_YNG_GL6	6	6
31	LAR_YNG_rep05	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL13	RR8_LVR_GC_LAR_YNG_GL13	13	13
32	LAR_YNG_rep06	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL14	RR8_LVR_GC_LAR_YNG_GL14	14	14
33	LAR_YNG_rep07	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL17	RR8_LVR_GC_LAR_YNG_GL17	17	17
34	LAR_YNG_rep08	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL18	RR8_LVR_GC_LAR_YNG_GL18	18	18
