gene_id	gene_label
ENSMUSG00000005716	Pvalb
ENSMUSG00000006457	Actn3
ENSMUSG00000013936	Myl2
ENSMUSG00000017300	Tnnc2
ENSMUSG00000018893	Mb
ENSMUSG00000020061	Mybpc1
ENSMUSG00000030399	Ckm
ENSMUSG00000030592	Ryr1
ENSMUSG00000030672	Mylpf
ENSMUSG00000030730	Atp2a1
ENSMUSG00000031097	Tnni2
ENSMUSG00000033196	Myh2
ENSMUSG00000038670	Mybpc2
ENSMUSG00000053093	Myh7
ENSMUSG00000055775	Myh8
ENSMUSG00000056328	Myh1
ENSMUSG00000057003	Myh4
ENSMUSG00000061723	Tnnt3
ENSMUSG00000061816	Myl1
ENSMUSG00000064179	Tnnt1
