test	heldout_accession	n	accuracy	balanced_accuracy	f1	roc_auc	n_splits
expression_leave_one_accession_out	OSD-137	11	0.45454545454545453	0.4166666666666667	0.0	0.23333333333333334	
expression_leave_one_accession_out	OSD-173	4	0.25	0.25	0.4	0.25	
expression_leave_one_accession_out	OSD-242	8	0.625	0.6333333333333333	0.6666666666666666	0.6666666666666667	
expression_leave_one_accession_out	OSD-245	37	0.5135135135135135	0.5014619883040935	0.1	0.3654970760233918	
expression_leave_one_accession_out	OSD-379	62	0.41935483870967744	0.4193548387096774	0.4	0.3881373569198751	
expression_leave_one_accession_out	OSD-463	22	0.5909090909090909	0.5583333333333333	0.7096774193548387	0.525	
expression_within_accession_cv	OSD-137	11	0.45454545454545453	0.45	0.4	0.2	5.0
expression_within_accession_cv	OSD-173	4	0.5	0.5	0.5	0.25	2.0
expression_within_accession_cv	OSD-242	8	0.5	0.4666666666666667	0.6	0.7333333333333334	3.0
expression_within_accession_cv	OSD-245	37	0.6486486486486487	0.6491228070175439	0.6486486486486487	0.7865497076023391	5.0
expression_within_accession_cv	OSD-379	62	0.6451612903225806	0.6451612903225806	0.6451612903225806	0.6826222684703434	5.0
expression_within_accession_cv	OSD-463	22	0.5454545454545454	0.5416666666666667	0.5833333333333334	0.6916666666666667	5.0
